linea,tipo,razon,texto_original,porcentaje_automatico,detalles_base,detalles_avanzados,texto_catalan,texto_chino
1260032,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Així que el nostre acord amb Laguna Seca va sorgir no perquè haguéssim iniciat el camí d'intentar t...,,,,,
1328268,eliminacion_catalan,caracteres_problematicos: {'—'},"—Roger —va dir—, saps quan van néixer aquests joves?",,,,,
1536050,eliminacion_catalan,caracteres_problematicos: {'‘'},És millor ‘escalfar' abans de cantar.,,,,,
1550422,eliminacion_catalan,caracteres_problematicos: {'·'},"La pel·lícula mostra part de la campanya d'organització del sindicat, però en volia veure més.",,,,,
1581814,eliminacion_catalan,caracteres_problematicos: {'·'},Això il·lustra una altra característica dels recursos no renovables: la tecnologia en determina el c...,,,,,
1667731,eliminacion_catalan,caracteres_problematicos: {'”'},Sabíem que el seu missatge d'Any Nou augmentaria l'abatiment dels nigerians en lloc de proporcionar-...,,,,,
1757357,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“De fet ho vas fer”, li va dir ella.",,,,,
2006921,eliminacion_catalan,caracteres_problematicos: {'%'},"Aquestes dues característiques particulars de la marxa van ser, de fet, suficients per poder identif...",,,,,
2121030,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",En aquest context també pot significar “íntegra”.,,,,,
2179695,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","La FSF argumenta que el programari lliure no hauria de posar restriccions a l'ús comercial,[21] i la...",,,,,
2292479,eliminacion_catalan,caracteres_problematicos: {'·'},"Jacobson injectava als pacients fins a 30 o 50 mil·ligrams d'amfetamines (velocitat), un estimulant ...",,,,,
2328640,eliminacion_catalan,caracteres_problematicos: {'·'},"L'any passat, el president dels Estats Units i els republicans al Senat van nomenar i van confirmar ...",,,,,
2424183,eliminacion_catalan,caracteres_problematicos: {'·'},"També va dir que si pogués obtenir més avions d'intel·ligència, vigilància i reconeixement, aguditza...",,,,,
2440285,eliminacion_catalan,caracteres_problematicos: {'·'},"Potser no és sorprenent que aquesta illa, amb la seva rica i il·lustre història, sigui la font de mo...",,,,,
2502144,eliminacion_catalan,caracteres_problematicos: {'%'},"Això va proporcionar un gènere clar del 93,7% dels productors.",,,,,
2541681,eliminacion_catalan,caracteres_problematicos: {'/'},Fundador / CEO - Molts fundadors i CEOs d'Unicorn mai no han experimentat un entorn difícil de recap...,,,,,
2544074,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Em fa molta por que el que hem preparat no sigui el que tothom vol.”.,,,,,
2765993,eliminacion_catalan,caracteres_problematicos: {'%'},"La majoria dels assistents són usuaris de WordPress.org, no part de l'1% que paga les factures d'Aut...",,,,,
2776931,eliminacion_catalan,caracteres_problematicos: {'/'},"Que, com una porta de la cabina tancada, mantindrà els passatgers/tripulants no fiables de la tripul...",,,,,
2828917,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","No obstant això, els “jurats” ho haurien fet igual de bé.",,,,,
2847403,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“A més, tots els treballadors s'hauran d'adaptar, ja que les seves ocupacions evolucionen al costat ...",,,,,
2863077,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Txad: [00:21:34] Sí, amb el meu programa, em dirigeixo principalment al nivell de l'escola mitjana i...",,,,,
2924190,eliminacion_catalan,caracteres_problematicos: {'·'},"Una col·lecció de tres a quatre anys de cigars, el sabor del tabac pot jugar a l'extrem.",,,,,
2992743,eliminacion_catalan,caracteres_problematicos: {'*'},"* Persones (Consciència, Cultura, Ètica)",,,,,
3057393,eliminacion_catalan,caracteres_problematicos: {'“'},“Molts usuaris de WhatsApp no tenen número de targeta de dèbit o crèdit i els preocupava perdre l'ac...,,,,,
3104440,eliminacion_catalan,caracteres_problematicos: {'”'},També volem ser mesurats d'acord amb això.”.,,,,,
3122552,eliminacion_catalan,caracteres_problematicos: {'·'},"Igual que amb Zigbee i Z-Wave, 6LoWPAN s'utilitza principalment per a aplicacions d'automatització d...",,,,,
3146682,eliminacion_catalan,caracteres_problematicos: {'·'},"Va ser un dels centenars d'evacuats que van entrar en un mercat de Safeway les 24 hores del dia, men...",,,,,
3166229,eliminacion_catalan,caracteres_problematicos: {'·'},Es creu que els atacs als estudiants indis a Austràlia el 2009 i el 2010 són part de la raó d'un for...,,,,,
3332153,eliminacion_catalan,caracteres_problematicos: {'“'},“Vam tenir un desacord sobre el sexe al desembre i ho vam resoldre.,,,,,
3341365,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Les dues empreses també estan treballant juntes per desenvolupar solucions d'umrah de “propera gener...,,,,,
3363775,eliminacion_catalan,caracteres_problematicos: {'*'},"* 35,3 milions de persones tenien accés a aigua potable;",,,,,
3510629,eliminacion_catalan,caracteres_problematicos: {'%'},"Tot i això, les 20 indústries que comparteixen perfils a la guia de despeses veuran un creixement de...",,,,,
3514827,eliminacion_catalan,caracteres_problematicos: {'“'},“Les estadístiques de la Inspecció de Treball de l'Estat citades per Izvestiya mostren que més de 46...,,,,,
3575176,eliminacion_catalan,caracteres_problematicos: {'·'},Des de llavors s'han introduït els telèfons intel·ligents i els estàndards de xarxes mòbils han canv...,,,,,
3674657,eliminacion_catalan,caracteres_problematicos: {'•'},• Finalitzada amb èxit la integració tècnica del negoci zoosanitari adquirit el 2017,,,,,
3679189,eliminacion_catalan,caracteres_problematicos: {'“'},"“Com a líder en diagnòstic, Roche es compromet a proporcionar solucions de prova per a les emergènci...",,,,,
3696328,eliminacion_catalan,caracteres_problematicos: {'%'},"Spar, del qual es va descobrir que el iogurt de maduixa de marca pròpia a Eslovènia tenia un 40% men...",,,,,
3919449,eliminacion_catalan,caracteres_problematicos: {'·'},"La setmana passada, Human Rights Watch va publicar un informe que deia que els sol·licitants d'asil ...",,,,,
3925955,eliminacion_catalan,caracteres_problematicos: {'·'},"Amb els recents avenços en la ciència dels materials, els mètodes de fabricació i la intel·ligència ...",,,,,
3937771,eliminacion_catalan,caracteres_problematicos: {'́'},L ́existència dels àngels és una veritat de la nostra fe,,,,,
4113846,eliminacion_catalan,"caracteres_problematicos: {'“', '%', '”'}","Pot tractar els trastorns alimentaris, prevenir el càncer, reduir el risc de demència en un 60% i aj...",,,,,
4142625,eliminacion_catalan,caracteres_problematicos: {'“'},Sunggy Koo va dir: “El nostre enfocament és garantir una millor experiència d'IoT per als consumidor...,,,,,
4186684,eliminacion_catalan,caracteres_problematicos: {'•'},• 100 països han realitzat campanyes de sensibilització sobre l'activitat física;,,,,,
4211163,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",La història de tres amics que construeixen una exitosa escola d'anglès a la Xina anomenada “New Drea...,,,,,
4286233,eliminacion_catalan,caracteres_problematicos: {'“'},“Estan produint uns submarins bastant sorprenents.,,,,,
4343039,eliminacion_catalan,caracteres_problematicos: {'“'},"“El que hem vist als campaments és que, com que els nois ara es fan amics de les noies, estem presen...",,,,,
4382908,eliminacion_catalan,caracteres_problematicos: {'“'},"INSPIRACIONS DE LA VIDA: “...Alegreu-vos, poble de Sió, alegreu-vos en el Senyor, el vostre Déu, que...",,,,,
4401621,eliminacion_catalan,caracteres_problematicos: {'='},Cinquena etapa: la primera acció = elecció tàctica,,,,,
4492943,eliminacion_catalan,caracteres_problematicos: {'$'},"Crear una cadira amb nom - Mínim de $ 1,000,000",,,,,
4564858,eliminacion_catalan,caracteres_problematicos: {'/'},"Busquem organitzacions amb mentalitat empresarial que proporcionin eines, tecnologies i enfocaments ...",,,,,
4574881,eliminacion_catalan,caracteres_problematicos: {'·'},"El Sr. Miranda ha estat treballant amb Avaaz, un grup global de drets humans, per aconseguir firmes ...",,,,,
4627946,eliminacion_catalan,caracteres_problematicos: {'·'},"Tot i això, cada any de no fumar disminueix els riscos i millora la salut en general, cosa que fa qu...",,,,,
4633450,eliminacion_catalan,caracteres_problematicos: {'“'},"“El concert benèfic d'avui de One Love Manchester no només continuarà, sinó que ho farà amb més prop...",,,,,
4655469,eliminacion_catalan,caracteres_problematicos: {'“'},“La gent vol treballar pel que aconsegueix.,,,,,
4666694,eliminacion_catalan,caracteres_problematicos: {'·'},"En algun lloc fora d'allà, sota la pàl·lida llum de la lluna;",,,,,
4696431,eliminacion_catalan,caracteres_problematicos: {'·'},El ministre d'Afers Exteriors Videgaray va dir que el seu govern havia demanat a l'Alt Comissionat d...,,,,,
4774313,eliminacion_catalan,caracteres_problematicos: {'“'},“Ceylin era el segon gos del meu amic Birguel.,,,,,
4900533,eliminacion_catalan,caracteres_problematicos: {'%'},"Aquesta expansió va duplicar amb escreix la de l'any anterior, quan la riquesa mundial va augmentar ...",,,,,
4927769,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Així que ara anem a aplicar la segona regla de la 1a forma normal “Evitar la repetició de grups”.,,,,,
4957938,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",Regne Unit i Canadà:[7],,,,,
4959853,eliminacion_catalan,caracteres_problematicos: {'%'},Altres són 'tipus vespertins' i representen aproximadament el 30% de la població.,,,,,
5020933,eliminacion_catalan,caracteres_problematicos: {'@'},"@Lia 16 Mentre que el segon noi amb qui vas sortir sona meravellós, es mereix algú que l'apreciés i ...",,,,,
5043647,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Si el Congrés i els Estats fer més retallades, podem esperar que el nombre de famílies pobres i de ...",,,,,
5070747,eliminacion_catalan,caracteres_problematicos: {'·'},"Per això, Obama va decidir finalment acabar amb aquest pla de constel·lació general sense fons.",,,,,
5098206,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","[98] El desembre de 2010, la travessia va rebre el grau II per la seva importància cultural i històr...",,,,,
5100255,eliminacion_catalan,caracteres_problematicos: {'%'},Aquesta vegada la baixa va ser de prop del 15% i va ser molt clara.,,,,,
5128713,eliminacion_catalan,caracteres_problematicos: {'·'},"Per a aquests productes, Zodiac Seats modificarà nombrosos dissenys conceptuals o de disseny des de ...",,,,,
5258895,eliminacion_catalan,caracteres_problematicos: {'·'},"L'equip desenvoluparà models de protocols i costos de desenergització, amb col·laboradors d'instituc...",,,,,
5282948,eliminacion_catalan,caracteres_problematicos: {'•'},• Intensificar la cooperació per reduir el nombre i els efectes dels desastres naturals i els provoc...,,,,,
5287078,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Si ho haguéssim mantingut en aquesta línia [de la propietat original], hauria estat difícil crear un...",,,,,
5374897,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",Industrial Solutions Empresa Site [Lloc global],,,,,
5440136,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Però aquestes comparacions són “immensament valuoses”.,,,,,
5459229,eliminacion_catalan,caracteres_problematicos: {'“'},“L'OSD mantindrà sota vigilància l'aplicació de les recomanacions o resolucions adoptades.,,,,,
5564699,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Tot el que has de fer és distingir entre el que és “tu” i el que no ho és.,,,,,
5608926,eliminacion_catalan,caracteres_problematicos: {'·'},"Excel·lent enfocament, atenció al detall, rapidesa i organització: tot són coses que els empresaris ...",,,,,
5670185,eliminacion_catalan,caracteres_problematicos: {'”'},Estic orgullós del públic israelià que entén la importància de reduir els residus de bosses de plàst...,,,,,
5813886,eliminacion_catalan,caracteres_problematicos: {'“'},"“Per als nostres graduats, si us plau, sàpiga que la nostra xarxa d'exalumnes està sempre disposada ...",,,,,
5825382,eliminacion_catalan,caracteres_problematicos: {'%'},Els impulsors més grans d'aquest canvi són els consumidors: Els millennials i la generació Z constit...,,,,,
5857452,eliminacion_catalan,caracteres_problematicos: {'/'},"7.6. No concertaré cites personals amb cap proveïdor de serveis per a adults (ASP), ja que està proh...",,,,,
5867352,eliminacion_catalan,caracteres_problematicos: {'·'},KATE SULLIVAN: L'any passat vaig participar en el projecte Bartkira com a artista i encara que m'ho ...,,,,,
5869282,eliminacion_catalan,caracteres_problematicos: {'–'},"El president Ezra Taft Benson (1899–1994) ens va dir: ""Si no tenim games de pregar, hem de pregar fi...",,,,,
5869508,eliminacion_catalan,caracteres_problematicos: {'·'},"De fet, la FDA preveu més de 200 sol·licituds de nous medicaments en investigació en aquest camp per...",,,,,
5872554,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",També recomano llegir un altre article [8] a la revista de Batkins i Ike Brannon anomenat Five Guidi...,,,,,
5939181,eliminacion_catalan,caracteres_problematicos: {'/'},"Fins i tot si una persona s'hi enfronta i no excusa el seu mal comportament, no creu que sigui el pr...",,,,,
6254375,eliminacion_catalan,caracteres_problematicos: {'«'},"Jo li vaig respondre: «No puc mirar, Pare, perquè els teus ulls brillen com un llamp.",,,,,
6278477,eliminacion_catalan,caracteres_problematicos: {'”'},I és per això que no has de subestimar les dones. Semblaran una nena bonica i robaran els nens de so...,,,,,
6371393,eliminacion_catalan,caracteres_problematicos: {'·'},El 24 d'agost va ser detingut per les autoritats nord-americanes en resposta a una sol·licitud d'ext...,,,,,
6432278,eliminacion_catalan,caracteres_problematicos: {'·'},"De febrer a octubre, es troba en un període d'oportunitats excel·lent per aprofitar els beneficis d'...",,,,,
6617953,eliminacion_catalan,caracteres_problematicos: {'/'},"La creixent demanda mundial de productes electrònics, nous productes i noves tecnologies de producci...",,,,,
6661112,eliminacion_catalan,caracteres_problematicos: {'/'},"I si voleu una mica de comèdia, però també voleu veure un thriller polític en roba interior mentre m...",,,,,
6736260,eliminacion_catalan,caracteres_problematicos: {'%'},Snell va compartir una estadística dolorosa: Mentre que el 59% dels executius creu que la IA podria ...,,,,,
6822660,eliminacion_catalan,caracteres_problematicos: {'·'},La Llei de Llibertat d'Informació de 2000 promou una obertura més gran i una major responsabilitat e...,,,,,
6901599,eliminacion_catalan,caracteres_problematicos: {'·'},"Afirmant ser víctima d'un error judicial per motius polítics, Garvey va apel·lar la condemna, però l...",,,,,
6958752,eliminacion_catalan,caracteres_problematicos: {'“'},"“...Després de tres dies de caça, altres membres del grup havien vist óssos, però no Roosevelt.",,,,,
6967158,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Després posa aquesta paraula clau a la teva signatura, i qualsevol que respongui a un dels teus corr...",,,,,
7013844,eliminacion_catalan,caracteres_problematicos: {'+'},"Per tant, la Xina està duent a terme activament la R+D del 5G, hi ha moltes empreses, les universita...",,,,,
7144181,eliminacion_catalan,caracteres_problematicos: {'%'},"A més, el 80% dels enquestats van declarar utilitzar una eina d'avaluació de riscos per determinar s...",,,,,
7220080,eliminacion_catalan,caracteres_problematicos: {'·'},"Com estimava la seva cosina, tanmateix, hi havia una excel·lent explicació de per què havia de conse...",,,,,
7512401,eliminacion_catalan,caracteres_problematicos: {'/'},(formalment Imperi Romà d'Orient) 52 / 52 De vegades conegut com Esteve II.,,,,,
7556703,eliminacion_catalan,caracteres_problematicos: {'%'},"El 55% de les dones en el lideratge sènior, el 48% de les dones lesbianes i el 45% de les dones en c...",,,,,
7606627,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",El president va qualificar Papadopoulos de “jove voluntari de baix nivell” a Twitter.,,,,,
7679973,eliminacion_catalan,caracteres_problematicos: {'·'},"Tot i l'orientació comercial de les empreses, els autors van acordar no sol·licitar propietat intel·...",,,,,
7720324,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}",28 Llavors li digueren: «Què hem de fer per dur a terme les obres de Déu?»,,,,,
7742662,eliminacion_catalan,caracteres_problematicos: {'·'},Els participants en aquestes reunions intenten arribar a acords en temes d'interès mutu -com la crea...,,,,,
7872469,eliminacion_catalan,caracteres_problematicos: {'·'},"El tercer seria la ceguesa!, va dir el gran mestre il·luminador Osman, que després va guardar silenc...",,,,,
7885901,eliminacion_catalan,caracteres_problematicos: {'”'},Probablement es podria argumentar que els dos conductors podrien haver-ho fet una mica millor.”.,,,,,
7974406,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Per explicar això, els científics van suggerir que podria haver-hi alguna matèria “fosca” invisible ...",,,,,
8062628,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Sempre animo a aquestes persones, però també explico que hi ha una gran diferència entre “ser escrip...",,,,,
8083433,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Ara, un ordinador funciona de la nit al dia, i vostè té 300 [opcions], però encara necessita el temp...",,,,,
8114959,eliminacion_catalan,"caracteres_problematicos: {'/', '·'}","A les temporades en què es requereixen tant calefacció com refrigeració, l'eficiència pot ser més de...",,,,,
8126730,eliminacion_catalan,caracteres_problematicos: {'·'},"Per descomptat, el que sembla una quantitat infinita de recursos informàtics és una il·lusió, on la ...",,,,,
8143516,eliminacion_catalan,"caracteres_problematicos: {'%', '·'}",La majoria dels propietaris de telèfons intel·ligents (62%) han descarregat aplicacions als seus dis...,,,,,
8233404,eliminacion_catalan,caracteres_problematicos: {'“'},"“Sí, som un equip jove, però això no ens serveix d'excusa.",,,,,
8315008,eliminacion_catalan,caracteres_problematicos: {'%'},"Això equival al 8,3% de la població adulta, amb taxes iguals tant en dones com en homes.",,,,,
8364527,eliminacion_catalan,caracteres_problematicos: {'·'},No només haurien de trobar la manera d'assegurar-se que el cervell es pugui comunicar eficaçment amb...,,,,,
8400775,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '·'}",El TPP s'està estructurant al voltant dels principis campions dels Estats Units en termes de transpa...,,,,,
8469452,eliminacion_catalan,caracteres_problematicos: {'·'},Els Socis no recopilaran cap informació obtinguda a través de cap canal il·legal i eliminaran absolu...,,,,,
8480578,eliminacion_catalan,caracteres_problematicos: {'”'},És important que el teu fill sàpiga que és normal expressar les coses de diferents maneres; per exam...,,,,,
8494261,eliminacion_catalan,caracteres_problematicos: {'%'},"""... normalment, aquests punts de tall s'estableixen mesurant la prova en persones normals i sanes (...",,,,,
8524554,eliminacion_catalan,caracteres_problematicos: {'·'},"L'estabilitat actual de la institució, el suport que rep d'antics alumnes i amics, a més d'un nombre...",,,,,
8548279,eliminacion_catalan,caracteres_problematicos: {'›'},Inici › I Never Sang for My Father (1970),,,,,
8574642,eliminacion_catalan,caracteres_problematicos: {'%'},BBC History és la revista d'història més venuda al Regne Unit i continua creixent en circulació gair...,,,,,
8582626,eliminacion_catalan,caracteres_problematicos: {'>'},Ets a: Inici > Social i Polític > Democràcia > Els 100 primers dies i la degradació de la presidènci...,,,,,
8675712,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En altres parts del món natural, la por i la desconfiança dels humans envers els taurons ha portat a...",,,,,
8693136,eliminacion_catalan,caracteres_problematicos: {'“'},“Sóc el més jove i ja tinc 74 anys.,,,,,
8702001,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Vés, esforça't al màxim, hi ha moltes coses per aprendre en el futur.”.",,,,,
8849481,eliminacion_catalan,caracteres_problematicos: {'·'},La intel·ligència no cibernètica addicional i l'autoritat legal han de donar suport i confirmar que ...,,,,,
8926593,eliminacion_catalan,caracteres_problematicos: {'—'},"—Saps, el 1980, potser.",,,,,
8933178,eliminacion_catalan,caracteres_problematicos: {'”'},"Crec que farem història”, va dir.",,,,,
8933261,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}",[2] Aquesta és una de les causes de preocupació sobre l'impacte ambiental de l'ús d'aquests combusti...,,,,,
8944329,eliminacion_catalan,caracteres_problematicos: {']'},"Tenim entitats creatives, com els creadors de Joc de Trons David] Benioff i D.B. Weiss, que estan de...",,,,,
8987686,eliminacion_catalan,caracteres_problematicos: {'·'},"El Sr. Thiel suposadament considerava ""tòxica"" la cultura progressista de San Francisco i va buscar ...",,,,,
9083999,eliminacion_catalan,caracteres_problematicos: {'·'},Totes dues universitats s'han compromès a signar contractes d'arrendament a llarg termini per a l'ús...,,,,,
9085505,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","No obstant això, quan explico als meus amics sobre un conflicte en la meva relació, la primera pregu...",,,,,
9154967,eliminacion_catalan,caracteres_problematicos: {'“'},“Probablement pensen que no tenim llar.,,,,,
9155349,eliminacion_catalan,"caracteres_problematicos: {'«', '»'}","De fet, la pròpia noció d'una cosa anomenada «cultura occidental» és una invenció moderna.",,,,,
9329745,eliminacion_catalan,caracteres_problematicos: {'>'},> Paisatge amb Hagar i l'Àngel,,,,,
9359136,eliminacion_catalan,caracteres_problematicos: {'%'},"Els bancs alemanys, holandesos i austríacs han reduït les llibretes de préstecs a l'estranger més de...",,,,,
9390089,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","[8] Urumqi en línia, 11 d'octubre de 2005, ""Registre de trencar 2 trasplantaments de fetge en 25 hor...",,,,,
9431870,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","La llegenda afirma que si un es troba amb un abatwa, normalment se li farà una pregunta com: “Des d'...",,,,,
9470329,eliminacion_catalan,caracteres_problematicos: {'&'},"Dos grans accionistes de Sprint, Paulson & Co i Omega Advisors, han dit públicament que l'oferta de ...",,,,,
9573844,eliminacion_catalan,caracteres_problematicos: {'·'},Això és possible gràcies a la presència en una sola xarxa de comerç ECN gran nombre de petits i gran...,,,,,
9611994,eliminacion_catalan,caracteres_problematicos: {'·'},"Estratègicament, a llarg termini, no volem dependre dels proveïdors asiàtics, tot i que tenim excel·...",,,,,
9617877,eliminacion_catalan,caracteres_problematicos: {'%'},"La taxa d'augment del consum de carbó a l'Índia és ara la més lenta des de l'any 2000, a banda de l'...",,,,,
9652924,eliminacion_catalan,caracteres_problematicos: {'·'},"Summit està dissenyat per a la investigació en energia, materials avançats i intel·ligència artifici...",,,,,
9662746,eliminacion_catalan,"caracteres_problematicos: {'=', '%'}",Ambdues metaanàlisis van mostrar alts nivells d'heterogeneïtat (I2 = 83% i 86% respectivament) que n...,,,,,
9666037,eliminacion_catalan,caracteres_problematicos: {'%'},"La demanda de l'A4 i l'A5 es va mantenir bé específicament als Estats Units, amb un augment de les v...",,,,,
9779570,eliminacion_catalan,"caracteres_problematicos: {'[', ']'}","Tal com es defineix al Glossari Federal de Termes de Telecomunicacions dels Estats Units (FS-1037C),...",,,,,
9794469,eliminacion_catalan,caracteres_problematicos: {'·'},"Són aquestes cèl·lules mare les que solen matar una persona, ja que es poden tornar resistents a tot...",,,,,
9794640,eliminacion_catalan,caracteres_problematicos: {'·'},"La filla de Lee, Joan, va dir en una sol·licitud d'ordre d'allunyament l'any passat que Morgan estav...",,,,,
9878063,eliminacion_catalan,"caracteres_problematicos: {'“', '–', '”'}",“Aneu i digueu a Joan el que heu vist i sentit” – Lluc 7:22.,,,,,
10035555,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En efecte, la seva resposta va ser “vostès no saben com fer-ho”, va dir el Dr. Bruneau.",,,,,
10130204,eliminacion_catalan,caracteres_problematicos: {'·'},"A finals de març, l'Índia va disparar míssils antisatèl·lit.",,,,,
10221822,eliminacion_catalan,caracteres_problematicos: {'“'},“No podia veure el meu company i cridava el seu nom.,,,,,
10227196,eliminacion_catalan,caracteres_problematicos: {'–'},"Cada dos mesos, la SFPL tria un llibre –amb l'ajuda dels seus suggeriments– amb la intenció que els ...",,,,,
10262973,eliminacion_catalan,caracteres_problematicos: {'—'},Perquè la lluita cadena de menjar ràpid és un dels majors compradors de pollastre als Estats Units —...,,,,,
10288543,eliminacion_catalan,caracteres_problematicos: {'“'},"“Seran unes dues-centes milles fins a Winston-Salem, on pararem per més combustible, després unes al...",,,,,
10325511,eliminacion_catalan,caracteres_problematicos: {'%'},"En poc menys de tres anys, Trump ha passat fins ara gairebé hores jugant a golf, és a dir, aproximad...",,,,,
10331503,eliminacion_catalan,caracteres_problematicos: {'“'},“El que necessitem ara és menjar.,,,,,
10387606,eliminacion_catalan,caracteres_problematicos: {'·'},"Però Benku8 no és simplement un mitjà perquè els mil·lennistes expressin les seves opinions, sinó ta...",,,,,
10404178,eliminacion_catalan,caracteres_problematicos: {'—'},—Em dónes el mal tràngol.,,,,,
10412079,eliminacion_catalan,caracteres_problematicos: {'·'},Estic desitjant treballar amb Brett i Don per crear un espectacle que sigui agradable tant per als f...,,,,,
10426005,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Hi ha una manera millor, que jo anomeno seguir una estratègia de “expatriats inversos”.",,,,,
10515923,eliminacion_catalan,caracteres_problematicos: {'”'},CVS s'hauria d'avergonyir per les seves accions a la llum de les condicions laborals que suporten el...,,,,,
10568874,eliminacion_catalan,"caracteres_problematicos: {'‘', '”'}",Els ateus i les persones que contacten amb organitzacions de drets humans són atacats com a ‘terrori...,,,,,
10639425,eliminacion_catalan,caracteres_problematicos: {'/'},Els Certificats o Diplomes de Postgrau (PG Cert/Dip) són cursos de postgrau que s'imparteixen durant...,,,,,
10656317,eliminacion_catalan,caracteres_problematicos: {'“'},“LTE-M és una tecnologia emocionant preparada per a 5G i una extensió natural de l'estratègia d'IoT ...,,,,,
