linea,tipo,razon,texto_original
1663983,eliminacion_catalan,caracteres_problematicos: {'«'},"A continuació, sota la direcció d'Observacions: «Aneu just fora del naufragi; això és important."
1677673,eliminacion_catalan,caracteres_problematicos: {'–'},"Fins i tot si podem identificar un grapat immutable de principis d'inversió, no podem aplicar aquest..."
1681688,eliminacion_catalan,caracteres_problematicos: {'#'},"Canvia a un idioma més barat (com Whitespace, Shakespeare, Cow, Spaghetti o C#)."
1844989,eliminacion_catalan,caracteres_problematicos: {'“'},“Les nostres forces han assolit un alt nivell d'eficiència i capacitat a tots els nivells.
1888112,eliminacion_catalan,caracteres_problematicos: {'·'},La revista és un registre on MongoDb registra tots els canvis a la col·lecció i els seus documents.
2000618,eliminacion_catalan,caracteres_problematicos: {'/'},"El primer pas és trobar un bon equip de dissenyadors, desenvolupadors i provadors de UI/UX per al te..."
2064312,eliminacion_catalan,caracteres_problematicos: {'“'},“Trobo molt a faltar la terra.
2176681,eliminacion_catalan,caracteres_problematicos: {'»'},"En aquest sentit, es tindran especialment en compte les necessitats dels països en desenvolupament.»..."
2215526,eliminacion_catalan,"caracteres_problematicos: {']', '['}",Aquest Memoràndum requereix que tots els llocs web i serveis web federals d'accés públic [1] només p...
2305756,eliminacion_catalan,caracteres_problematicos: {'“'},"“Per fer-se càrrec del sistema, hauries de gastar almenys tant com el que el sistema està gastant ar..."
2367978,eliminacion_catalan,caracteres_problematicos: {'/'},"La inversió comercial en aquests biocombustibles de segona generació va començar el 2006/2007, i gra..."
2379540,eliminacion_catalan,caracteres_problematicos: {'“'},“Estem en una posició única com a éssers humans: només nosaltres tenim el poder de canviar el món en...
2381211,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Donats els impediments, NITI Aayog ha apostat per una “política global d'eficiència energètica”, jun..."
2465586,eliminacion_catalan,caracteres_problematicos: {'«'},"Ella va dir: «Estimat Sàbat, pots fer colls lleugers, però crec que el teu veritable problema és ada..."
2494577,eliminacion_catalan,"caracteres_problematicos: {']', '['}","[11] Sense que se celebrés cap votació sobre el tema, el CI estava visiblement disposat a fer que el..."
2494583,eliminacion_catalan,caracteres_problematicos: {'·'},No esperàvem que els nivells més baixos de la proteïna funcional tinguessin un efecte tan dramàtic e...
2523230,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En aquest moment, vaig recordar el poema d'un poeta africà: “Endavant, Àfrica, escoltem el ritme de ..."
2620454,eliminacion_catalan,caracteres_problematicos: {'·'},"Després de creure durant mil·lennis que estàvem limitats per la natura, els homes i les dones corren..."
2729766,eliminacion_catalan,caracteres_problematicos: {'‘'},I és tan difícil per a qualsevol que visqui en una situació més normal entendre la resposta que s'ac...
2822137,eliminacion_catalan,caracteres_problematicos: {'·'},"A més, els ciutadans búlgars poden viure als Estats Units sol·licitant un visat E2."
2831336,eliminacion_catalan,caracteres_problematicos: {'“'},“Cal temps i energia per ensenyar-ho.
2904973,eliminacion_catalan,caracteres_problematicos: {'“'},“En els últims anys va aparèixer regularment als assajos del Gang Show per donar suport a la colla a...
2905656,eliminacion_catalan,caracteres_problematicos: {'·'},Fora.TV - Col·lecció de vídeos en constant expansió de les conferències i esdeveniments més importan...
2921652,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",No hi ha res “relativista” en el fet que la història humana s'expliqui sempre des d'un cert punt de ...
2977351,eliminacion_catalan,caracteres_problematicos: {'—'},Tercer — hem d'implementar polítiques domèstiques per assegurar que el comerç mundial és més eficaç ...
3083411,eliminacion_catalan,caracteres_problematicos: {'%'},"El Mar Mort té més del 30% de contingut de sal, cosa que fa que les coses siguin molt més pròsperes."
3111000,eliminacion_catalan,caracteres_problematicos: {'—'},—És clar que no és fill meu! —diria.
3189306,eliminacion_catalan,caracteres_problematicos: {'“'},Van dir: “Aretha va ajudar a definir l'experiència americana.
3222485,eliminacion_catalan,caracteres_problematicos: {'·'},"Les proves de cable (Cat 5, Cat 6 i Cat 7 Testing) ajuden a garantir que els enllaços de cablejat in..."
3335134,eliminacion_catalan,caracteres_problematicos: {'·'},"El sistema bancari italià, que no va estar exposat a actius tòxics, va sortir gairebé il·lès de les ..."
3380529,eliminacion_catalan,caracteres_problematicos: {'&'},"El Ministeri de Petroli, Gas i Hidrocarburs també ha anunciat que promourà oportunitats d'exploració..."
3506837,eliminacion_catalan,caracteres_problematicos: {'‘'},‘Pare del moviment dels assentaments'
3564992,eliminacion_catalan,caracteres_problematicos: {'·'},"Amb aquest directori de campaments d'estiu, els pares poden aprendre més sobre una varietat de campa..."
3579169,eliminacion_catalan,caracteres_problematicos: {'·'},"El producte de la seva línia de temps, doncs, fa una dura divisió entre el passat i el present, assu..."
3707333,eliminacion_catalan,caracteres_problematicos: {'»'},"Viure a Canadà i Life Canada, subjecte a altres 1 Comentari »"
3737520,eliminacion_catalan,caracteres_problematicos: {'“'},“La investigació no és només anar a buscar cossos.
3770603,eliminacion_catalan,caracteres_problematicos: {'%'},El Ministeri de Finances va dir en un comunicat que els impostos sobre el consum individual dels tur...
4030367,eliminacion_catalan,caracteres_problematicos: {'·'},"Tot i que el nostre terreny està situat en una part especialment tranquil·la, privada i exuberant de..."
4133456,eliminacion_catalan,"caracteres_problematicos: {']', '['}","Vaig a acabar el meu contracte fins a finals d'any, així com [assistir] als EUA Infiniti F1 Engineer..."
4136514,eliminacion_catalan,caracteres_problematicos: {'#'},"El problema és que #China bloqueja a tots els altres del seu mercat!"""
4138200,eliminacion_catalan,caracteres_problematicos: {'—'},—És una operació militar?
4235544,eliminacion_catalan,caracteres_problematicos: {'“'},"“Volem protegir la nostra generació més jove, el físic de la qual no s'ha formulat."
4270538,eliminacion_catalan,caracteres_problematicos: {'·'},Però tenim aquesta il·lusió que ens manté a tots al seu lloc per recolzar aquesta terrible presa de ...
4342845,eliminacion_catalan,caracteres_problematicos: {'#'},"El moviment #MeToo ha fet llum sobre l'omnipresència de l'assetjament, però també ha destacat el pap..."
4344736,eliminacion_catalan,caracteres_problematicos: {'·'},"A la pel·lícula, Gavin és interpretat per Karl Urban."
4506332,eliminacion_catalan,caracteres_problematicos: {'–'},"Però ja està pensant en un llibre que, segons ell, ""unirà els cinc continents i ens permetrà –i espe..."
4593462,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“No obstant això, estem encoratjats pel fet que aquesta dolça nena ara pot rebre l'enterrament adequ..."
4757589,eliminacion_catalan,"caracteres_problematicos: {'‘', '—'}",El projecte cultural i científic Perceptions of Human-Chicken Interactions — ‘Chicken Coop' — examin...
4786214,eliminacion_catalan,"caracteres_problematicos: {'“', '·'}",“L'any passat vam rebre més de 12.000 sol·licituds de llocs de treball i estem en camí de millorar-h...
4818022,eliminacion_catalan,caracteres_problematicos: {'/'},Com trobar i activar Microsoft Office 2016 / 2019 / 365 al vostre nou sistema Dell
4848254,eliminacion_catalan,caracteres_problematicos: {'—'},És un disseny que pren un material londinenc —maó— i el tracta com un espectacle.
4892204,eliminacion_catalan,"caracteres_problematicos: {'%', '·'}",La majoria dels nord-americans (59%) no se senten còmodes amb la idea que els estudiants transgènere...
4948438,eliminacion_catalan,caracteres_problematicos: {'“'},"“Finalment, el 8 de maig, observem un fort pic en l'activitat de la infecció VPNFilter."
4985365,eliminacion_catalan,caracteres_problematicos: {'»'},"Quan realment ho necessitava, només em van donar 1.000 dòlars.»."
5032871,eliminacion_catalan,caracteres_problematicos: {'%'},Aquestes accions tindran com a resultat una reducció de les emissions de CO2 d'aproximadament el 40%...
5082834,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Hi ha un nou treball tècnic per fer-ho possible, i això es va fer conjuntament amb PayPal.”."
5084807,eliminacion_catalan,caracteres_problematicos: {'«'},"«El sentit comú i el sentit de l'humor són la mateixa cosa, es mouen a diferents velocitats."
5221320,eliminacion_catalan,caracteres_problematicos: {'·'},Transmetre la sol·licitud SOAP i rebre la resposta SOAP.
5350789,eliminacion_catalan,caracteres_problematicos: {'·'},"Va afegir: ""La importància d'estrènyer els llaços de defensa i intel·ligència entre Gran Bretanya i ..."
5381599,eliminacion_catalan,"caracteres_problematicos: {'‘', '–'}",Virus Zika: ‘No sé quan la meva filla caminarà o parlarà – Veig altres mares plorant desesperades' –...
5409365,eliminacion_catalan,caracteres_problematicos: {'%'},"L'extinció d'espècies és una part ordinària dels processos naturals del nostre planeta; de fet, el 9..."
5488114,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","No era només “bé, hauria de ser més ric del que sóc”, sinó aquesta idea que era injust gravar la gen..."
5518418,eliminacion_catalan,caracteres_problematicos: {'·'},"Després de la instal·lació i posada en marxa de l'equip, proporcionarem a l'usuari el corresponent i..."
5588570,eliminacion_catalan,caracteres_problematicos: {'·'},El Col·legi i la Fundació col·laboren estretament per determinar les necessitats del programa i part...
5697432,eliminacion_catalan,caracteres_problematicos: {'·'},Estem acceptant sol·licituds per a tots els nivells: graus 6-12.
5797844,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Considerar el canvi climàtic com un problema estrictament “mediambiental” no té res a veure.
5813947,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Però quantes vegades nosaltres mateixos diem o escoltem “creuré quan entengui”.
5862237,eliminacion_catalan,caracteres_problematicos: {'·'},Twelfth Night (or What You Will) segueix una parella de bessons - Viola i Sebastian - que naufragen ...
6072284,eliminacion_catalan,"caracteres_problematicos: {'“', '”', '·'}","Tenien un vast sistema de propaganda establert, i promourien un estil de vida socialista pacífic env..."
6098728,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Va ser Bruce Gilden qui va dir: “Si pots olorar el carrer mirant la foto, és una fotografia de carre..."
6174203,eliminacion_catalan,caracteres_problematicos: {'·'},Gabon: Carta de BAT argumentant que no hi ha proves que els envasos simples redueixin el consum de t...
6191980,eliminacion_catalan,"caracteres_problematicos: {'“', '·'}",“...Al·là ha permès el comerç i ha prohibit l'interès.
6306985,eliminacion_catalan,caracteres_problematicos: {'%'},"En comparació amb el pas petit tradicional, el substrat només consumeix el 4% d'aquest darrer."
6316293,eliminacion_catalan,caracteres_problematicos: {'·'},"Ara heu d'INSTAL·LAR, OBRIR i ACTIVAR."
6343959,eliminacion_catalan,caracteres_problematicos: {'·'},"Fundat el 1923, té una capacitat total de generació d'uns fenomenals megawatts, cosa que l'ajuda a i..."
6396936,eliminacion_catalan,"caracteres_problematicos: {'“', '&', '”'}","“Llei, Cultura i Moviments Socials 2.0,” Dret del Mig Oest & Retiro de la Societat, patrocinat per l..."
6426108,eliminacion_catalan,caracteres_problematicos: {'–'},"Com a resultat, es necessita al voltant de 100 vegades més voltatge aplicat a la porta inferior per ..."
6512822,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Hi ha molts exemples d'aquest fenomen a la Terra i a l'espai.”.
6544007,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","La majoria se centren en els negocis o el turisme, i organitzen concerts, festivals de cinema i expo..."
6564967,eliminacion_catalan,"caracteres_problematicos: {'·', '—'}","Sr. President; Sr. Primer Ministre; Senyora Alcalde; caps d'Estat i de Govern, passats i presents —i..."
6591043,eliminacion_catalan,caracteres_problematicos: {'%'},Fins ara només s'ha rebut el 12% del finançament necessari.
6591737,eliminacion_catalan,"caracteres_problematicos: {'—', '£'}","Comunicacions (incloent-hi estudis de mitjans, periodisme i publicacions) — £22,293"
6597306,eliminacion_catalan,caracteres_problematicos: {'”'},"Mentre puguis mirar sense por al cel, sabràs que ets pur per dins i tornaràs a trobar la felicitat.”..."
6648266,eliminacion_catalan,caracteres_problematicos: {'·'},"El Sr. Pompeo també va dir en una conferència de premsa anterior, però, que té ""una gran confiança q..."
6725356,eliminacion_catalan,caracteres_problematicos: {'·'},"Potser us imagineu que ja heu estat actuant al màxim de les vostres capacitats, però segur que desco..."
6751264,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Casc de moto”, dic jo."
6757490,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Tal, amic meu, és el començament just i gloriós del qual brolla la tirania.”."
6780982,eliminacion_catalan,caracteres_problematicos: {'·'},La col·laboració de Louis Vuitton X Supreme n'és un bon example.
6800445,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Nen menjant el menjar de l'ocell”
6816617,eliminacion_catalan,caracteres_problematicos: {'%'},"Investigació de consum similar YouGov s'ha dut a terme en altres països del sud-est asiàtic, on tamb..."
6860367,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Crec que de vegades li resulta una mica frustrant, però aquesta és la seva nova vida, i ha de brega..."
6889172,eliminacion_catalan,caracteres_problematicos: {'”'},La meva feina és treure a la gent i el que no s'atrevirien a fer ells mateixos.”
6963731,eliminacion_catalan,caracteres_problematicos: {'·'},Ford v Ferrari és una de les millors pel·lícules que he vist des de començament d'any i serà una per...
7133105,eliminacion_catalan,"caracteres_problematicos: {'·', '”'}","Això és el bo d'aquest equip, tornem, veiem la pel·lícula, reconeixem el que vam fer, els errors que..."
7156889,eliminacion_catalan,caracteres_problematicos: {'·'},(viii) nombre de sol·licituds realitzades en virtut d'una ordre judicial;
7165397,eliminacion_catalan,caracteres_problematicos: {'%'},Hem proporcionat dividends trimestrals des de 1925 i hem augmentat els dividends durant 35 anys cons...
7169291,eliminacion_catalan,caracteres_problematicos: {'“'},"“La meva ment, ho sé, ho puc provar, plana sobre les ales dels colibrís."
7232611,eliminacion_catalan,"caracteres_problematicos: {'–', '·'}",Els investigadors de dues instal·lacions aeronàutiques de la NASA diuen que el nou disseny de l'ala ...
7285451,eliminacion_catalan,caracteres_problematicos: {'“'},“Poden aquests centenars de milions d'éssers humans ser privats d'aquesta gran de les benediccions s...
7287079,eliminacion_catalan,caracteres_problematicos: {'·'},"John va ser un dels primers al Vietnam a rebre una Bíblia il·lustrada per a nens, impresa amb el sup..."
7303946,eliminacion_catalan,caracteres_problematicos: {'%'},"A més, un estudi de The Boston Consulting Group i Business of Fashion conclou que els executius de l..."
7330568,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Si no hagués vist el metge treure'l de la meva dona amb els meus propis ulls, mai no creuria que és..."
7372892,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Des de la dècada de 1960, es van introduir les fonts “New Armenian”, “Mnatsakanyan”, “Nork”, “Egenei..."
7378014,eliminacion_catalan,caracteres_problematicos: {'“'},“Alguna dona histèrica va trucar per dir que el seu gos havia trobat un braç humà a l'altre costat d...
7437633,eliminacion_catalan,caracteres_problematicos: {'·'},Col·lecció de vestuari i tèxtil de la Universitat de Maryland
7494662,eliminacion_catalan,caracteres_problematicos: {'%'},Els costos operatius van caure gairebé un 12%.
7527632,eliminacion_catalan,"caracteres_problematicos: {']', '['}","Tot i els greus danys, algunes mostres utilitzables s'han recuperat del mòdul de retorn de mostres d..."
7578848,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","4 Llavors li va arribar la paraula del Senyor: “Aquest home no serà el teu hereu, sinó que el teu he..."
7607742,eliminacion_catalan,caracteres_problematicos: {'«'},"«Sobretot, l'amor de Déu és immediat."
7671258,eliminacion_catalan,caracteres_problematicos: {'%'},Probablement no és tan sorprenent saber que els humans compartim el 98% del nostre AND amb els ximpa...
7686513,eliminacion_catalan,"caracteres_problematicos: {']', '['}",SR CURRIE: [en anglès] Digueu a l'anomalia que corre el risc de ser castigada si no coopera.
7733616,eliminacion_catalan,caracteres_problematicos: {'%'},"A l'últim any, la població del país ha crescut en persones, de les quals el 61% procedia de la migra..."
7827417,eliminacion_catalan,caracteres_problematicos: {'/'},"Un dels principals punts de tensió al Canadà té menys a veure amb el francès/anglès, o amb l'est/oes..."
7888966,eliminacion_catalan,caracteres_problematicos: {'·'},"Sense ells, totes les excel·lents capacitats naturals de la humanitat dormirien per sempre, sense de..."
7932126,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","Menys entès, però, és el que realment és aquest “valor”."
7968347,eliminacion_catalan,"caracteres_problematicos: {']', '['}","Quin dret té, monsenyor, a exigir un compte dels meus aferraments i amistats? [2]"
8071862,eliminacion_catalan,caracteres_problematicos: {'–'},"És una mica fantasiós en el seu llenguatge: somrient observant de Madame Loyal, quan està absent a l..."
8121342,eliminacion_catalan,caracteres_problematicos: {'·'},"Com era d'esperar, la infanteria i els canons russos van repel·lir ràpidament les tropes turques i d..."
8151086,eliminacion_catalan,"caracteres_problematicos: {'%', '—'}","El problema era simplement que fins i tot si comptaven fins a la fi dels temps, mai no serien capaço..."
8249391,eliminacion_catalan,caracteres_problematicos: {'·'},El consell d'administració estudiarà ara els propers passos i continuarà col·laborant amb els nostre...
8311775,eliminacion_catalan,"caracteres_problematicos: {'“', ']', '”', '['}",“Durant tants anys us he estat servint... mai m'heu donat una cabra jove.”[14]
8403161,eliminacion_catalan,caracteres_problematicos: {'/'},La nova Directiva Europea de Seguretat de les Joguines (TSD) 2009/48/CE
8420382,eliminacion_catalan,caracteres_problematicos: {'—'},—No t'he demanat mai protecció.
8485691,eliminacion_catalan,"caracteres_problematicos: {']', '['}","Quan inventes la nau, també inventes el naufragi; quan inventes l'avió, també inventes l'accident d'..."
8735935,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“La teva ira i la teva ànsia de poder ja ho han fet.”.
8815390,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Prova una freqüència different.”.
8870029,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","En el seu discurs de tres hores i mitja davant el Congrés, va exposar una visió no només per als prò..."
8908737,eliminacion_catalan,caracteres_problematicos: {'·'},"Per a aquells que no vulguin instal·lar-lo en el seu PC, es pot descarregar la versió mòbil, per uti..."
8944173,eliminacion_catalan,caracteres_problematicos: {'$'},"El tribunal va sostenir que la suma de $4,500.00 més les despeses, era justa i raonable per al pagam..."
9060178,eliminacion_catalan,caracteres_problematicos: {'·'},"Els telèfons intel·ligents han recorregut una bona distància abans d'ara uns anys, però independentm..."
9072159,eliminacion_catalan,caracteres_problematicos: {'·'},"No obstant això, el satèl·lit europeu de raigs gamma INTEGRAL no va confirmar el senyal."
9171987,eliminacion_catalan,caracteres_problematicos: {'·'},Els científics van observar que els ratolins van consumir més oxygen durant la seva fase activa (que...
9327256,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Hem de tancar les fronteres ara i deixar que tothom s'assimili a un estil de vida occidental, blanc..."
9378275,eliminacion_catalan,"caracteres_problematicos: {'&', '·'}",La imatge més primerenca de la fàbrica de productes metàl·lics Straub & Schweizer.
9394591,eliminacion_catalan,caracteres_problematicos: {'·'},"I encara que la comercialització continua sent un repte, tant els inversors com les empreses farmacè..."
9397479,eliminacion_catalan,caracteres_problematicos: {'·'},"Tothom sempre està dient com no hem de jutjar l'un a l'altre, així que per què estàs comentant en un..."
9462957,eliminacion_catalan,caracteres_problematicos: {'%'},Van arribar a la conclusió que el 5% de les trobades eren fiables però inexplicables: La millor hipò...
9624683,eliminacion_catalan,caracteres_problematicos: {'%'},Un estudi publicat a principis d'aquest any va trobar que la quantitat de residus electrònics a l'es...
9645796,eliminacion_catalan,caracteres_problematicos: {'·'},"Els marges també augmentaran significativament en sectors industrials més petits, com els béns de co..."
9696908,eliminacion_catalan,caracteres_problematicos: {'·'},"Des de llavors, Fox ha cancel·lat el programa."
9764057,eliminacion_catalan,caracteres_problematicos: {'“'},"“Els medicaments no s'utilitzen per curar animals malalts, sinó per evitar que es posin malalts, per..."
9822777,eliminacion_catalan,caracteres_problematicos: {'#'},"Els sindicats britànics van dir que el suport a la vaga era fort, amb conductors que es quedaven a c..."
9854981,eliminacion_catalan,caracteres_problematicos: {'”'},No tenen un programa clar.”.
9872325,eliminacion_catalan,caracteres_problematicos: {'·'},"Els nostres negocis no-iPhone tenen menys exposició als mercats emergents, i la gran majoria dels in..."
9914343,eliminacion_catalan,"caracteres_problematicos: {'·', '«', '»'}",Com es gestionen les sol·licituds «Do Not Track»
9915305,eliminacion_catalan,caracteres_problematicos: {'–'},"–accés sense obstacles per part del Grup d'Experts, en particular a persones, documents i llocs perq..."
9956023,eliminacion_catalan,caracteres_problematicos: {'“'},"“Des que coneixíem tant l'aplicació com la màquina, vam aprendre a diagnosticar problemes, així com,..."
9956374,eliminacion_catalan,caracteres_problematicos: {'&'},"El 2006 va fundar el seu estudi Nichetto&Partners, que s'ocupa de Disseny Industrial i Consultor de ..."
10022949,eliminacion_catalan,caracteres_problematicos: {'•'},"• La directora de macroeconomia, comerç i inversió del Banc Mundial, Caroline Freund, va dir que l'ú..."
10037957,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","“Promet-me, Ned”, va xiuxiuejar l'estàtua de Lyanna."
10128173,eliminacion_catalan,caracteres_problematicos: {'·'},Dues qüestions més que s'han de considerar en establir un experiment d'espectroscòpia d'absorció inc...
10161485,eliminacion_catalan,caracteres_problematicos: {'”'},"Si preneu la part organitzativa, si preneu la cerimònia d'obertura, si preneu el menjar, la cultura,..."
10192653,eliminacion_catalan,caracteres_problematicos: {'/'},"Acció: Fins i tot si no teniu la seu a l'EEE, considereu, juntament amb el vostre departament jurídi..."
10288533,eliminacion_catalan,caracteres_problematicos: {'·'},"Molts elements moderns de disseny, com els sistemes d'il·luminació distintius o els colors de la Ter..."
10306431,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",“Creus que el país ens està donant les seves millors persones?”.
10396494,eliminacion_catalan,caracteres_problematicos: {'”'},"Era un gos molt amable i, abans de la mitja marató, estava saludant molta gent i, quan va començar l..."
10466735,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}",Què significa el “codi de categoria d'aliments” al número de llicència de producció d'aliments?
10502777,eliminacion_catalan,caracteres_problematicos: {'%'},Més de la meitat (56%) dels professionals de la ciberseguretat afirmen que la seva organització no e...
10522919,eliminacion_catalan,caracteres_problematicos: {'”'},"Los Angeles encara hi seria, oi?”"
10744101,eliminacion_catalan,caracteres_problematicos: {'́'},L ́existència de Déu té les seves arrels en l ́existència mateixa de l ́home.
10777222,eliminacion_catalan,caracteres_problematicos: {'·'},Aporta a la gent plaer real il·limitat i diversió.
10793530,eliminacion_catalan,caracteres_problematicos: {'·'},U Aung Swe Oo i U Maung Oo van ser detinguts el desembre de l'any passat i acusats en virtut de la L...
10851914,eliminacion_catalan,caracteres_problematicos: {'·'},"- Fomentar la comunicació i la col·laboració entre els científics en nutrició, així com difondre inf..."
10884706,eliminacion_catalan,caracteres_problematicos: {'”'},"Perquè vas fer aquest pas que va generar la vida que va seguir, m'has ajudat a mi i a tantes altres ..."
10939503,eliminacion_catalan,caracteres_problematicos: {'—'},Atès que els dos documents generalment considerats els més creïbles com a identificació — el número ...
11045643,eliminacion_catalan,caracteres_problematicos: {'“'},Ell va dir: “Això passa a tot arreu.
11107938,eliminacion_catalan,caracteres_problematicos: {'·'},"Avui dia, els descobriments que s'estan produint als nostres laboratoris i universitats finançats pe..."
11172264,eliminacion_catalan,caracteres_problematicos: {'“'},“Podria ser el país.
11340996,eliminacion_catalan,caracteres_problematicos: {'→'},→ Els serveis (subscripció i gestionats) representaran almenys el 50 per cent del lliurament de prog...
11420888,eliminacion_catalan,caracteres_problematicos: {'–'},Emprenedoria – Seguim un enfocament emprenedor i aportem solucions creatives i pragmàtiques.
11477594,eliminacion_catalan,caracteres_problematicos: {'”'},Aquesta escòria nacional i els pecadors de Hong Kong sempre seran clavats al pilar de la vergonya de...
11528701,eliminacion_catalan,caracteres_problematicos: {'%'},Afroamericans adults 79%
11568439,eliminacion_catalan,"caracteres_problematicos: {'“', '”'}","L'any 1996, en una de les seves frases més celebrades, Bill Clinton va declarar que “l'era del gran ..."
11612379,eliminacion_catalan,caracteres_problematicos: {'%'},"En el futur, al voltant del 20-30% es casarà i tindrà fills dins del matrimoni."
11624668,eliminacion_catalan,caracteres_problematicos: {'‘'},Un cop vaig sortir amb un paio que va escriure ‘podria'.
11625706,eliminacion_catalan,caracteres_problematicos: {'%'},"L'economia de l'Índia s'havia desaccelerat a un mínim de sis anys al 5% en el trimestre de juny, cos..."
11668804,eliminacion_catalan,caracteres_problematicos: {'+'},També va ser membre del Consell Assessor Tècnic del Grup de Tecnologia Avançada + Projectes de Googl...
11710115,eliminacion_catalan,caracteres_problematicos: {'/'},"El nostre denominador es converteix en 50/70-21/70, que és igual a 29/70."
11781463,eliminacion_catalan,"caracteres_problematicos: {']', '['}","Però igualment important, mostra la recent desenvolupada tècnica de pintura a l'oli iniciada per Van..."
